SUBJ_ID	#TRIAL_FLOW	trial_counter	T.CSM	T.CS_EE	T.CS_UU	ReliefChoiceCS	ReliefCS
RS07	Extinction_phase	41	0	1	0	2	36
RS07	Extinction_phase	42	1	0	0	2	60
RS07	Extinction_phase	43	0	1	0	2	39
RS07	Extinction_phase	44	1	0	0	2	62
RS07	Extinction_phase	45	0	1	0	2	37
RS07	Extinction_phase	46	0	1	0	2	42
RS08	Pavlovian_phase	1	1	0	0	1	0
RS08	Pavlovian_phase	2	0	1	0	1	0
RS08	Pavlovian_phase	3	1	0	0	1	0
RS08	Pavlovian_phase	4	0	1	0	1	0
RS08	Pavlovian_phase	5	0	1	0	1	0
RS08	Pavlovian_phase	6	1	0	0	1	0
RS08	Pavlovian_phase	7	0	1	0	1	0
RS08	Pavlovian_phase	8	1	0	0	1	0
RS08	Pavlovian_phase	9	0	0	1	1	0
RS08	Pavlovian_phase	10	0	1	0	1	0
RS08	Pavlovian_phase	11	0	0	1	1	0
RS08	Pavlovian_phase	12	0	1	0	1	0
RS08	Pavlovian_phase	13	0	0	1	1	0
RS08	Pavlovian_phase	14	1	0	0	1	0
RS08	Pavlovian_phase	15	0	1	0	1	0
RS08	Pavlovian_phase	16	0	0	1	2	50
RS08	Pavlovian_phase	17	0	1	0	1	0
RS08	Pavlovian_phase	18	1	0	0	2	50
RS08	Pavlovian_phase	19	0	0	1	2	55
RS08	Pavlovian_phase	20	0	0	1	2	66
RS08	Pavlovian_phase	21	0	1	0	1	0
RS08	Pavlovian_phase	22	0	1	0	1	0
RS08	Pavlovian_phase	23	0	0	1	2	54
RS08	Pavlovian_phase	24	0	1	0	1	0
RS08	Pavlovian_phase	25	1	0	0	2	61
RS08	Pavlovian_phase	26	0	1	0	1	0
RS08	Pavlovian_phase	27	0	0	1	2	60
RS08	Pavlovian_phase	28	1	0	0	2	58
RS08	Extinction_phase	29	0	1	0	1	0
RS08	Extinction_phase	30	0	1	0	1	0
RS08	Extinction_phase	31	0	0	1	1	0
RS08	Extinction_phase	32	0	0	1	1	0
RS08	Extinction_phase	33	1	0	0	1	0
RS08	Extinction_phase	34	0	1	0	1	0
RS08	Extinction_phase	35	0	0	1	1	0
RS08	Extinction_phase	36	0	0	1	1	0
RS08	Extinction_phase	37	0	1	0	1	0
RS08	Extinction_phase	38	0	1	0	1	0
RS08	Extinction_phase	39	1	0	0	1	0
RS08	Extinction_phase	40	1	0	0	1	0
RS08	Extinction_phase	41	0	1	0	1	0
RS08	Extinction_phase	42	0	1	0	1	0
RS08	Extinction_phase	43	0	0	1	1	0
RS08	Extinction_phase	44	0	1	0	1	0
RS08	Extinction_phase	45	1	0	0	1	0
RS08	Extinction_phase	46	1	0	0	1	0
RS09	Pavlovian_phase	1	0	1	0	1	0
RS09	Pavlovian_phase	2	1	0	0	1	0
RS09	Pavlovian_phase	3	1	0	0	1	0
RS09	Pavlovian_phase	4	0	1	0	1	0
RS09	Pavlovian_phase	5	1	0	0	1	0
RS09	Pavlovian_phase	6	0	1	0	1	0
RS09	Pavlovian_phase	7	1	0	0	1	0
RS09	Pavlovian_phase	8	0	1	0	1	0
RS09	Pavlovian_phase	9	1	0	0	1	0
RS09	Pavlovian_phase	10	0	1	0	1	0
RS09	Pavlovian_phase	11	0	0	1	1	0
RS09	Pavlovian_phase	12	0	0	1	1	0
RS09	Pavlovian_phase	13	0	1	0	1	0
RS09	Pavlovian_phase	14	0	1	0	1	0
RS09	Pavlovian_phase	15	1	0	0	2	65
RS09	Pavlovian_phase	16	0	1	0	1	0
RS09	Pavlovian_phase	17	1	0	0	1	0
RS09	Pavlovian_phase	18	0	1	0	1	0
RS09	Pavlovian_phase	19	0	0	1	2	64
RS09	Pavlovian_phase	20	0	0	1	2	68
RS09	Pavlovian_phase	21	0	1	0	1	0
RS09	Pavlovian_phase	22	0	1	0	1	0
RS09	Pavlovian_phase	23	0	0	1	2	65
RS09	Pavlovian_phase	24	0	0	1	2	61
RS09	Pavlovian_phase	25	1	0	0	1	0
RS09	Pavlovian_phase	26	0	0	1	2	64
RS09	Pavlovian_phase	27	0	1	0	1	0
RS09	Pavlovian_phase	28	0	0	1	2	66
RS09	Extinction_phase	29	0	1	0	1	0
RS09	Extinction_phase	30	0	0	1	1	0
RS09	Extinction_phase	31	0	0	1	2	68
RS09	Extinction_phase	32	1	0	0	1	0
RS09	Extinction_phase	33	0	1	0	1	0
RS09	Extinction_phase	34	0	0	1	1	0
RS09	Extinction_phase	35	1	0	0	1	0
RS09	Extinction_phase	36	0	1	0	1	0
RS09	Extinction_phase	37	1	0	0	1	0
RS09	Extinction_phase	38	0	1	0	1	0
RS09	Extinction_phase	39	0	1	0	1	0
RS09	Extinction_phase	40	1	0	0	1	0
RS09	Extinction_phase	41	0	1	0	1	0
RS09	Extinction_phase	42	1	0	0	1	0
RS09	Extinction_phase	43	0	0	1	1	0
RS09	Extinction_phase	44	0	1	0	1	0
RS09	Extinction_phase	45	0	0	1	1	0
RS09	Extinction_phase	46	0	1	0	1	0
RS10	Pavlovian_phase	1	0	1	0	1	0
RS10	Pavlovian_phase	2	1	0	0	1	0
RS10	Pavlovian_phase	3	0	1	0	1	0
RS10	Pavlovian_phase	4	1	0	0	2	37
RS10	Pavlovian_phase	5	1	0	0	2	34
RS10	Pavlovian_phase	6	0	1	0	1	0
RS10	Pavlovian_phase	7	0	1	0	1	0
RS10	Pavlovian_phase	8	1	0	0	2	46
RS10	Pavlovian_phase	9	0	0	1	1	0
RS10	Pavlovian_phase	10	0	1	0	1	0
RS10	Pavlovian_phase	11	0	1	0	1	0
RS10	Pavlovian_phase	12	1	0	0	2	30
RS10	Pavlovian_phase	13	0	1	0	1	0
RS10	Pavlovian_phase	14	0	0	1	2	20
RS10	Pavlovian_phase	15	0	1	0	1	0
RS10	Pavlovian_phase	16	0	1	0	1	0
RS10	Pavlovian_phase	17	0	0	1	2	23
RS10	Pavlovian_phase	18	1	0	0	2	31
RS10	Pavlovian_phase	19	0	1	0	1	0
RS10	Pavlovian_phase	20	0	1	0	1	0
RS10	Pavlovian_phase	21	0	0	1	2	36
RS10	Pavlovian_phase	22	0	1	0	1	0
RS10	Pavlovian_phase	23	0	0	1	2	32
RS10	Pavlovian_phase	24	0	0	1	1	0
RS10	Pavlovian_phase	25	1	0	0	2	39
RS10	Pavlovian_phase	26	0	0	1	2	30
RS10	Pavlovian_phase	27	1	0	0	2	52
RS10	Pavlovian_phase	28	0	0	1	2	32
RS10	Extinction_phase	29	1	0	0	2	29
RS10	Extinction_phase	30	0	0	1	2	19
RS10	Extinction_phase	31	0	1	0	1	0
RS10	Extinction_phase	32	1	0	0	2	45
RS10	Extinction_phase	33	0	0	1	2	20
RS10	Extinction_phase	34	0	1	0	2	8
RS10	Extinction_phase	35	1	0	0	2	16
RS10	Extinction_phase	36	0	1	0	2	16
RS10	Extinction_phase	37	0	1	0	1	0
RS10	Extinction_phase	38	1	0	0	1	0
RS10	Extinction_phase	39	0	1	0	1	0
RS10	Extinction_phase	40	0	0	1	1	0
RS10	Extinction_phase	41	0	1	0	1	0
RS10	Extinction_phase	42	1	0	0	1	0
RS10	Extinction_phase	43	0	0	1	1	0
RS10	Extinction_phase	44	0	0	1	1	0
RS10	Extinction_phase	45	0	1	0	1	0
RS10	Extinction_phase	46	0	1	0	1	0
RS11	Pavlovian_phase	1	1	0	0	1	0
RS11	Pavlovian_phase	2	0	1	0	1	0
RS11	Pavlovian_phase	3	0	1	0	1	0
RS11	Pavlovian_phase	4	1	0	0	2	57
RS11	Pavlovian_phase	5	1	0	0	2	68
RS11	Pavlovian_phase	6	0	1	0	1	0
RS11	Pavlovian_phase	7	0	1	0	1	0
RS11	Pavlovian_phase	8	1	0	0	2	46
RS11	Pavlovian_phase	9	0	0	1	1	0
RS11	Pavlovian_phase	10	0	0	1	2	44
RS11	Pavlovian_phase	11	1	0	0	2	49
RS11	Pavlovian_phase	12	0	0	1	2	48
RS11	Pavlovian_phase	13	0	0	1	2	57
RS11	Pavlovian_phase	14	0	1	0	1	0
RS11	Pavlovian_phase	15	0	0	1	2	70
RS11	Pavlovian_phase	16	0	1	0	1	0
RS11	Pavlovian_phase	17	0	1	0	1	0
RS11	Pavlovian_phase	18	1	0	0	2	60
RS11	Pavlovian_phase	19	0	0	1	2	59
RS11	Pavlovian_phase	20	0	1	0	1	0
RS11	Pavlovian_phase	21	0	1	0	1	0
RS11	Pavlovian_phase	22	1	0	0	2	59
RS11	Pavlovian_phase	23	0	0	1	2	66
RS11	Pavlovian_phase	24	0	1	0	1	0
RS11	Pavlovian_phase	25	0	1	0	1	0
RS11	Pavlovian_phase	26	0	0	1	2	56
RS11	Pavlovian_phase	27	1	0	0	2	69
RS11	Pavlovian_phase	28	0	1	0	1	0
RS11	Extinction_phase	29	0	1	0	1	0
RS11	Extinction_phase	30	1	0	0	2	56
RS11	Extinction_phase	31	1	0	0	2	79
RS11	Extinction_phase	32	0	1	0	2	74
RS11	Extinction_phase	33	0	1	0	2	74
RS11	Extinction_phase	34	0	0	1	1	0
RS11	Extinction_phase	35	0	0	1	2	66
RS11	Extinction_phase	36	0	1	0	2	66
RS11	Extinction_phase	37	0	1	0	2	69
RS11	Extinction_phase	38	0	0	1	2	70
RS11	Extinction_phase	39	0	1	0	2	80
RS11	Extinction_phase	40	0	1	0	2	76
RS11	Extinction_phase	41	1	0	0	2	68
RS11	Extinction_phase	42	1	0	0	2	62
RS11	Extinction_phase	43	0	0	1	2	69
RS11	Extinction_phase	44	1	0	0	2	65
RS11	Extinction_phase	45	0	1	0	2	76
RS11	Extinction_phase	46	0	0	1	2	57
RS12	Pavlovian_phase	1	0	1	0	1	0
RS12	Pavlovian_phase	2	1	0	0	1	0
RS12	Pavlovian_phase	3	1	0	0	2	60
RS12	Pavlovian_phase	4	0	1	0	1	0
RS12	Pavlovian_phase	5	0	1	0	1	0
RS12	Pavlovian_phase	6	1	0	0	2	63
RS12	Pavlovian_phase	7	0	1	0	1	0
RS12	Pavlovian_phase	8	1	0	0	2	75
RS12	Pavlovian_phase	9	0	1	0	1	0
RS12	Pavlovian_phase	10	0	1	0	1	0
RS12	Pavlovian_phase	11	0	0	1	1	0
RS12	Pavlovian_phase	12	0	1	0	1	0
RS12	Pavlovian_phase	13	0	1	0	1	0
RS12	Pavlovian_phase	14	0	0	1	2	56
RS12	Pavlovian_phase	15	1	0	0	2	66
RS12	Pavlovian_phase	16	0	1	0	1	0
RS12	Pavlovian_phase	17	0	0	1	2	78
RS12	Pavlovian_phase	18	1	0	0	2	70
RS12	Pavlovian_phase	19	1	0	0	2	79
RS12	Pavlovian_phase	20	0	0	1	2	74
RS12	Pavlovian_phase	21	0	1	0	1	0
RS12	Pavlovian_phase	22	1	0	0	2	76
RS12	Pavlovian_phase	23	0	1	0	1	0
RS12	Pavlovian_phase	24	0	0	1	2	72
RS12	Pavlovian_phase	25	0	0	1	2	74
RS12	Pavlovian_phase	26	0	1	0	1	0
RS12	Pavlovian_phase	27	0	0	1	2	79
RS12	Pavlovian_phase	28	0	0	1	2	89
RS12	Extinction_phase	29	0	1	0	1	0
RS12	Extinction_phase	30	1	0	0	1	0
RS12	Extinction_phase	31	1	0	0	2	69
RS12	Extinction_phase	32	0	1	0	2	78
RS12	Extinction_phase	33	0	1	0	2	76
RS12	Extinction_phase	34	0	0	1	1	0
RS12	Extinction_phase	35	0	1	0	2	74
RS12	Extinction_phase	36	0	0	1	2	81
RS12	Extinction_phase	37	0	1	0	2	66
RS12	Extinction_phase	38	0	1	0	2	63
RS12	Extinction_phase	39	0	0	1	2	76
RS12	Extinction_phase	40	0	0	1	2	79
