SUBJ_ID	#TRIAL_FLOW	trial_counter	ReliefChoiceUS	ReliefUS	T.CSM	T.CS_EE	T.CS_UU	shock
RS04	Pavlovian_phase	13	1	0	0	1	0	1
RS04	Pavlovian_phase	14	2	64	0	0	1	0
RS04	Pavlovian_phase	15	2	21	1	0	0	0
RS04	Pavlovian_phase	16	2	71	0	0	1	0
RS04	Pavlovian_phase	17	2	48	0	0	1	0
RS04	Pavlovian_phase	18	1	0	0	1	0	1
RS04	Pavlovian_phase	19	1	0	0	1	0	1
RS04	Pavlovian_phase	20	2	60	0	0	1	0
RS04	Pavlovian_phase	21	1	0	1	0	0	0
RS04	Pavlovian_phase	22	2	70	0	0	1	0
RS04	Pavlovian_phase	23	1	0	0	1	0	1
RS04	Pavlovian_phase	24	1	0	0	1	0	1
RS04	Pavlovian_phase	25	1	0	0	0	1	0
RS04	Pavlovian_phase	26	1	0	1	0	0	0
RS04	Pavlovian_phase	27	1	0	1	0	0	0
RS04	Pavlovian_phase	28	1	0	0	1	0	1
RS04	Extinction_phase	29	2	62	0	0	1	0
RS04	Extinction_phase	30	1	0	1	0	0	0
RS04	Extinction_phase	31	2	87	0	1	0	0
RS04	Extinction_phase	32	2	69	0	0	1	0
RS04	Extinction_phase	33	1	0	0	1	0	0
RS04	Extinction_phase	34	1	0	0	1	0	0
RS04	Extinction_phase	35	2	75	0	0	1	0
RS04	Extinction_phase	36	2	50	1	0	0	0
RS04	Extinction_phase	37	2	52	0	1	0	0
RS04	Extinction_phase	38	1	0	0	1	0	0
RS04	Extinction_phase	39	1	0	1	0	0	0
RS04	Extinction_phase	40	2	36	0	0	1	0
RS04	Extinction_phase	41	1	0	1	0	0	0
RS04	Extinction_phase	42	2	20	1	0	0	0
RS04	Extinction_phase	43	2	14	0	0	1	0
RS04	Extinction_phase	44	1	0	0	1	0	0
RS04	Extinction_phase	45	1	0	0	1	0	0
RS04	Extinction_phase	46	1	0	0	1	0	0
RS05	Pavlovian_phase	1	2	19	1	0	0	0
RS05	Pavlovian_phase	2	1	0	0	1	0	1
RS05	Pavlovian_phase	3	2	29	1	0	0	0
RS05	Pavlovian_phase	4	2	6	0	1	0	1
RS05	Pavlovian_phase	5	2	11	1	0	0	0
RS05	Pavlovian_phase	6	1	0	1	0	0	0
RS05	Pavlovian_phase	7	2	4	0	1	0	1
RS05	Pavlovian_phase	8	1	0	0	1	0	1
RS05	Pavlovian_phase	9	1	0	0	1	0	1
RS05	Pavlovian_phase	10	2	25	0	0	1	0
RS05	Pavlovian_phase	11	1	0	0	1	0	1
RS05	Pavlovian_phase	12	2	34	0	0	1	0
RS05	Pavlovian_phase	13	2	26	0	0	1	0
RS05	Pavlovian_phase	14	2	27	1	0	0	0
RS05	Pavlovian_phase	15	2	10	0	0	1	0
RS05	Pavlovian_phase	16	1	0	0	1	0	1
RS05	Pavlovian_phase	17	1	0	0	1	0	1
RS05	Pavlovian_phase	18	2	6	1	0	0	0
RS05	Pavlovian_phase	19	2	4	1	0	0	0
RS05	Pavlovian_phase	20	1	0	0	1	0	1
RS05	Pavlovian_phase	21	2	14	0	0	1	0
RS05	Pavlovian_phase	22	1	0	0	0	1	0
RS05	Pavlovian_phase	23	1	0	0	1	0	1
RS05	Pavlovian_phase	24	1	0	0	1	0	1
RS05	Pavlovian_phase	25	2	11	0	0	1	0
RS05	Pavlovian_phase	26	1	0	1	0	0	0
RS05	Pavlovian_phase	27	1	0	0	1	0	1
RS05	Pavlovian_phase	28	1	0	0	0	1	0
RS05	Extinction_phase	29	2	16	0	0	1	0
RS05	Extinction_phase	30	2	7	1	0	0	0
RS05	Extinction_phase	31	2	37	0	1	0	0
RS05	Extinction_phase	32	2	14	0	1	0	0
RS05	Extinction_phase	33	2	6	0	0	1	0
RS05	Extinction_phase	34	2	7	0	0	1	0
RS05	Extinction_phase	35	2	23	0	1	0	0
RS05	Extinction_phase	36	2	9	1	0	0	0
RS05	Extinction_phase	37	2	9	1	0	0	0
RS05	Extinction_phase	38	1	0	0	1	0	0
RS05	Extinction_phase	39	1	0	1	0	0	0
RS05	Extinction_phase	40	1	0	0	1	0	0
RS05	Extinction_phase	41	1	0	0	1	0	0
RS05	Extinction_phase	42	1	0	0	0	1	0
RS05	Extinction_phase	43	2	6	0	1	0	0
RS05	Extinction_phase	44	1	0	0	0	1	0
RS05	Extinction_phase	45	1	0	0	1	0	0
RS05	Extinction_phase	46	1	0	1	0	0	0
RS06	Pavlovian_phase	1	1	0	0	1	0	1
RS06	Pavlovian_phase	2	1	0	0	1	0	1
RS06	Pavlovian_phase	3	2	58	1	0	0	0
RS06	Pavlovian_phase	4	2	55	1	0	0	0
RS06	Pavlovian_phase	5	1	0	0	1	0	1
RS06	Pavlovian_phase	6	2	68	1	0	0	0
RS06	Pavlovian_phase	7	1	0	0	1	0	1
RS06	Pavlovian_phase	8	2	70	1	0	0	0
RS06	Pavlovian_phase	9	1	0	0	1	0	1
RS06	Pavlovian_phase	10	2	74	0	0	1	0
RS06	Pavlovian_phase	11	1	0	0	1	0	1
RS06	Pavlovian_phase	12	2	66	0	0	1	0
RS06	Pavlovian_phase	13	2	75	0	0	1	0
RS06	Pavlovian_phase	14	2	75	1	0	0	0
