ID,Config,Phase,Color,Time,value,CSType
RS18,6,Pavlovian,Red,first,2,CSmin1
RS18,6,Pavlovian,Blue,last,6,CSmin2
RS18,6,Pavlovian,Yellow,last,1,CSplus
RS18,6,Pavlovian,Red,last,7,CSmin1
RS18,6,Extinction,Blue,first,2,CSmin2
RS18,6,Extinction,Yellow,first,2,CSplus
RS18,6,Extinction,Red,first,3,CSmin1
RS18,6,Extinction,Blue,last,5,CSmin2
RS18,6,Extinction,Yellow,last,6,CSplus
RS18,6,Extinction,Red,last,6,CSmin1
RS19,1,Pavlovian,Blue,first,3,CSplus
RS19,1,Pavlovian,Yellow,first,2,CSmin1
RS19,1,Pavlovian,Red,first,1,CSmin2
RS19,1,Pavlovian,Blue,last,1,CSplus
RS19,1,Pavlovian,Yellow,last,7,CSmin1
RS19,1,Pavlovian,Red,last,6,CSmin2
RS19,1,Extinction,Blue,first,1,CSplus
RS19,1,Extinction,Yellow,first,6,CSmin1
RS19,1,Extinction,Red,first,6,CSmin2
RS19,1,Extinction,Blue,last,7,CSplus
RS19,1,Extinction,Yellow,last,7,CSmin1
RS19,1,Extinction,Red,last,7,CSmin2
RS20,2,Pavlovian,Blue,first,6,CSmin2
RS20,2,Pavlovian,Yellow,first,5,CSmin1
RS20,2,Pavlovian,Red,first,2,CSplus
RS20,2,Pavlovian,Blue,last,7,CSmin2
RS20,2,Pavlovian,Yellow,last,7,CSmin1
RS20,2,Pavlovian,Red,last,1,CSplus
RS20,2,Extinction,Blue,first,7,CSmin2
RS20,2,Extinction,Yellow,first,6,CSmin1
RS20,2,Extinction,Red,first,2,CSplus
RS20,2,Extinction,Blue,last,7,CSmin2
RS20,2,Extinction,Yellow,last,7,CSmin1
RS20,2,Extinction,Red,last,7,CSplus
RS21,3,Pavlovian,Blue,first,6,CSmin1
RS21,3,Pavlovian,Yellow,first,6,CSmin2
RS21,3,Pavlovian,Red,first,1,CSplus
RS21,3,Pavlovian,Blue,last,7,CSmin1
RS21,3,Pavlovian,Yellow,last,7,CSmin2
RS21,3,Pavlovian,Red,last,1,CSplus
RS21,3,Extinction,Blue,first,7,CSmin1
RS21,3,Extinction,Yellow,first,7,CSmin2
RS21,3,Extinction,Red,first,1,CSplus
RS21,3,Extinction,Blue,last,7,CSmin1
RS21,3,Extinction,Yellow,last,7,CSmin2
RS21,3,Extinction,Red,last,7,CSplus
RS22,4,Pavlovian,Blue,first,4,CSmin1
RS22,4,Pavlovian,Yellow,first,4,CSplus
RS22,4,Pavlovian,Red,first,3,CSmin2
RS22,4,Pavlovian,Blue,last,7,CSmin1
RS22,4,Pavlovian,Yellow,last,1,CSplus
RS22,4,Pavlovian,Red,last,7,CSmin2
RS22,4,Extinction,Blue,first,6,CSmin1
RS22,4,Extinction,Yellow,first,2,CSplus
RS22,4,Extinction,Red,first,6,CSmin2
RS22,4,Extinction,Blue,last,7,CSmin1
RS22,4,Extinction,Yellow,last,7,CSplus
RS22,4,Extinction,Red,last,7,CSmin2
RS23,5,Pavlovian,Blue,first,3,CSplus
RS23,5,Pavlovian,Yellow,first,3,CSmin2
RS23,5,Pavlovian,Red,first,3,CSmin1
RS23,5,Pavlovian,Blue,last,1,CSplus
RS23,5,Pavlovian,Yellow,last,7,CSmin2
RS23,5,Pavlovian,Red,last,7,CSmin1
RS23,5,Extinction,Blue,first,2,CSplus
RS23,5,Extinction,Yellow,first,3,CSmin2
RS23,5,Extinction,Red,first,3,CSmin1
RS23,5,Extinction,Blue,last,7,CSplus
RS23,5,Extinction,Yellow,last,7,CSmin2
RS23,5,Extinction,Red,last,7,CSmin1
RS24,6,Pavlovian,Blue,first,2,CSmin2
RS24,6,Pavlovian,Yellow,first,1,CSplus
RS24,6,Pavlovian,Red,first,2,CSmin1
RS24,6,Pavlovian,Blue,last,7,CSmin2
RS24,6,Pavlovian,Yellow,last,1,CSplus
RS24,6,Pavlovian,Red,last,7,CSmin1
RS24,6,Extinction,Blue,first,2,CSmin2
RS24,6,Extinction,Yellow,first,2,CSplus
RS24,6,Extinction,Red,first,2,CSmin1
RS24,6,Extinction,Blue,last,4,CSmin2
RS24,6,Extinction,Yellow,last,4,CSplus
RS24,6,Extinction,Red,last,4,CSmin1
RS25,1,Pavlovian,Blue,first,1,CSplus
RS25,1,Pavlovian,Yellow,first,2,CSmin1
RS25,1,Pavlovian,Red,first,1,CSmin2
RS25,1,Pavlovian,Blue,last,1,CSplus
RS25,1,Pavlovian,Yellow,last,7,CSmin1
RS25,1,Pavlovian,Red,last,7,CSmin2
RS25,1,Extinction,Blue,first,1,CSplus
RS25,1,Extinction,Yellow,first,7,CSmin1
RS25,1,Extinction,Red,first,7,CSmin2
